"You can use the CSS-length values for the Store List configuration (100px, 77pt, 20em, .5ex or 50%)","You can use the CSS-length values for the Store List configuration (100px, 77pt, 20em, .5ex or 50%)"
"You can use the CSS-length values for the Store List configuration (100px, 77pt, 20em, .5ex). Don't set the value in %.","You can use the CSS-length values for the Store List configuration (100px, 77pt, 20em, .5ex). Don't set the value in %."
"You can use the CSS-length values for the Map configuration (100px, 77pt, 20em, .5ex or 50%)","You can use the CSS-length values for the Map configuration (100px, 77pt, 20em, .5ex or 50%)"
"You can use the CSS-length values for the Map configuration (100px, 77pt, 20em, .5ex). Don't set the value in %.","You can use the CSS-length values for the Map configuration (100px, 77pt, 20em, .5ex). Don't set the value in %."
"Widget Description","Widget Description"
"Enable Widget Block Wrapping","Enable Widget Block Wrapping"
"Set 'No' to disable the map block wrapping with the page content","Set 'No' to disable the map block wrapping with the page content"
"Link Text In Widget","Link Text In Widget"
"Store Locator Options","Store Locator Options"
"Add New Attribute","Add New Attribute"
"Delete selected items?","Delete selected items?"
ID,ID
"Input Type","Input Type"
Required,Required
"Add New","Add New"
Enable,Enable
Disable,Disable
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"Store Views","Store Views"
Disabled,Disabled
Enabled,Enabled
Name,Name
